id,nome,range,efic,fast_charge,bateria,ano
0,Lucid Air Dream Edition P,645.0,183.0,820.0,118.0,2022
1,Porsche Taycan Turbo S,400.0,209.0,980.0,7.0,2020
2,Audi e-tron GT RS,405.0,210.0,1000.0,85.0,2021
3,Renault Zoe ZE50 R110,315.0,165.0,230.0,52.0,2019
4,Audi Q4 e-tron 35,285.0,182.0,360.0,52.0,2021
5,Tesla Model Y Performance,415.0,181.0,640.0,75.0,2022
6,Porsche Taycan 4 Cross Turismo,425.0,197.0,1050.0,7.0,2021
7,Renault Zoe ZE50 R135,310.0,168.0,230.0,52.0,2019
8,Porsche Taycan Turbo,415.0,202.0,1020.0,7.0,2020
9,Smart EQ fortwo coupe,100.0,167.0,,7.0,2020
10,Smart EQ fortwo cabrio,95.0,176.0,,7.0,2020
11,Honda e Advance,170.0,168.0,180.0,5.0,2020
12,Porsche Taycan 4S,395.0,180.0,970.0,71.0,2020
13,Porsche Taycan 4S Plus,460.0,182.0,1130.0,7.0,2020
14,Mercedes EQV 300 Long,305.0,295.0,310.0,90.0,2020
15,Lexus UX 300e,235.0,191.0,150.0,45.0,2020
16,BMW i4 eDrive40,470.0,172.0,730.0,7.0,2021
17,Renault Twingo Electric,130.0,164.0,,3.0,2020
18,Fiat 500e Cabrio 42 kWh,230.0,162.0,380.0,3.0,2020
19,Skoda Enyaq iV 60,325.0,178.0,440.0,58.0,2021
20,Skoda Enyaq iV 80,420.0,183.0,530.0,77.0,2021
21,Skoda Enyaq iV 80x,400.0,193.0,500.0,77.0,2021
22,Skoda Enyaq iV RS,390.0,197.0,540.0,77.0,2022
23,Fiat 500e Hatchback 42 kWh,235.0,159.0,390.0,3.0,2020
24,Audi Q4 Sportback e-tron 35,295.0,176.0,370.0,52.0,2021
25,Nissan Ariya 63kWh,320.0,197.0,430.0,63.0,2022
26,Nissan Ariya 87kWh,435.0,200.0,520.0,87.0,2022
27,Nissan Ariya e-4ORCE 87kWh - 225 kW,420.0,207.0,500.0,87.0,2022
28,Nissan Ariya e-4ORCE 87kWh - 290 kW,420.0,207.0,500.0,87.0,2023
29,Volkswagen ID.4 Pro Performance,410.0,188.0,520.0,77.0,2021
30,Mercedes EQV 300 Extra-Long,305.0,295.0,310.0,90.0,2020
31,Lucid Air Grand Touring,665.0,168.0,840.0,112.0,2023
32,Lucid Air Touring,550.0,160.0,960.0,88.0,2023
33,Lucid Air Pure,560.0,157.0,980.0,88.0,2023
34,Fiat 500e Hatchback 24 kWh,135.0,158.0,230.0,3.0,2020
35,Fiat 500e 3+1 42 kWh,235.0,159.0,390.0,3.0,2020
36,Mercedes EQC 400 4MATIC,370.0,216.0,440.0,80.0,2020
37,Citroen e-SpaceTourer M 50 kWh,185.0,250.0,290.0,3.0,2020
38,Citroen e-SpaceTourer XL 50 kWh,180.0,257.0,290.0,3.0,2020
39,Citroen e-SpaceTourer M 75 kWh,265.0,257.0,290.0,68.0,2021
40,Citroen e-SpaceTourer XL 75 kWh,260.0,262.0,280.0,68.0,2021
41,Opel Zafira-e Life M 50 kWh,185.0,250.0,290.0,3.0,2020
42,Opel Zafira-e Life L 50 kWh,180.0,257.0,290.0,3.0,2020
43,Opel Zafira-e Life M 75 kWh,265.0,257.0,290.0,68.0,2021
44,Opel Zafira-e Life L 75 kWh,260.0,262.0,280.0,68.0,2021
45,Peugeot e-Traveller Standard 50 kWh,185.0,250.0,290.0,3.0,2020
46,Peugeot e-Traveller Long 50 kWh,180.0,257.0,290.0,3.0,2020
47,Peugeot e-Traveller Standard 75 kWh,265.0,257.0,290.0,68.0,2021
48,Peugeot e-Traveller Long 75 kWh,260.0,262.0,280.0,68.0,2021
49,Porsche Taycan ,410.0,173.0,1010.0,71.0,2021
50,Porsche Taycan Plus,475.0,176.0,1170.0,7.0,2021
51,Tesla Model S Dual Motor,570.0,167.0,790.0,95.0,2023
52,Tesla Model S Plaid,550.0,173.0,770.0,95.0,2022
53,Tesla Model X Dual Motor,470.0,202.0,650.0,95.0,2023
54,Tesla Model X Plaid,455.0,209.0,630.0,95.0,2022
55,Mini Cooper SE ,180.0,161.0,260.0,9.0,2021
56,JAC iEV7s ,225.0,173.0,160.0,39.0,2021
57,Volkswagen ID.4 Pure Performance,285.0,182.0,360.0,52.0,2021
58,Audi e-tron GT quattro,420.0,202.0,1030.0,85.0,2021
59,Hyundai Kona Electric 39 kWh,250.0,157.0,220.0,2.0,2021
60,Hyundai Kona Electric 64 kWh,395.0,162.0,370.0,64.0,2021
61,Porsche Taycan 4S Cross Turismo,425.0,197.0,1050.0,7.0,2021
62,Porsche Taycan Turbo Cross Turismo,400.0,209.0,980.0,7.0,2021
63,Porsche Taycan Turbo S Cross Turismo,385.0,217.0,950.0,7.0,2021
64,Kia EV6 GT,370.0,200.0,970.0,74.0,2022
65,BMW iX xDrive40,360.0,197.0,480.0,71.0,2021
66,BMW iX xDrive50,505.0,208.0,680.0,2.0,2021
67,MG MG5 Electric Long Range,335.0,171.0,330.0,4.0,2022
68,MG Marvel R Performance,330.0,197.0,390.0,65.0,2021
69,Hyundai IONIQ 5 Standard Range 2WD,295.0,183.0,720.0,54.0,2021
70,Kia EV6 Standard Range 2WD,305.0,177.0,750.0,54.0,2021
71,Kia EV6 Long Range 2WD,410.0,180.0,1070.0,74.0,2021
72,Kia EV6 Long Range AWD,400.0,185.0,1050.0,74.0,2021
73,Mercedes EQS 450+,640.0,168.0,960.0,8.0,2021
74,Mercedes EQS 580 4MATIC,605.0,178.0,900.0,8.0,2021
75,Volkswagen ID.4 Pure,285.0,182.0,360.0,52.0,2021
76,Audi Q4 e-tron 40,405.0,189.0,510.0,6.0,2021
77,Audi Q4 e-tron 50 quattro,385.0,199.0,490.0,6.0,2021
78,Audi Q4 Sportback e-tron 50 quattro,400.0,192.0,500.0,6.0,2021
79,Mercedes EQB 350 4MATIC,335.0,199.0,480.0,5.0,2022
80,Mercedes EQA 300 4MATIC,350.0,190.0,500.0,5.0,2021
81,Mercedes EQA 350 4MATIC,350.0,190.0,500.0,5.0,2021
82,Toyota PROACE Verso M 75 kWh,265.0,257.0,290.0,68.0,2021
83,Toyota PROACE Verso L 75 kWh,260.0,262.0,280.0,68.0,2021
84,CUPRA Born 150 kW - 58 kWh,350.0,166.0,470.0,58.0,2021
85,CUPRA Born 170 kW - 58 kWh,345.0,168.0,460.0,58.0,2022
86,CUPRA Born 170 kW - 77 kWh,450.0,171.0,570.0,77.0,2022
87,BMW i4 M50,435.0,186.0,670.0,7.0,2021
88,Renault Megane E-Tech EV60 220hp,360.0,167.0,500.0,60.0,2022
89,Peugeot e-Rifter Standard 50 kWh,205.0,226.0,330.0,3.0,2021
90,Peugeot e-Rifter Long 50 kWh,200.0,232.0,320.0,3.0,2021
91,MG Marvel R ,335.0,194.0,400.0,65.0,2021
92,Audi Q4 e-tron 45 quattro,385.0,199.0,490.0,6.0,2021
93,Audi Q4 Sportback e-tron 40,425.0,180.0,540.0,6.0,2021
94,BMW iX3 ,385.0,192.0,520.0,74.0,2021
95,Renault Megane E-Tech EV40 130hp,250.0,160.0,360.0,40.0,2022
96,Mercedes EQS AMG 53 4MATIC+,565.0,191.0,840.0,8.0,2022
